CategoryId,Name,Link
0,Масла и автохимия,https://www.avito.ru/saratov/zapchasti_i_aksessuary/zapchasti_i_aksessuary/masla_i_avtohimiya-ASgBAgICAUQKnE0
0,Противоугонные устройства,https://www.avito.ru/saratov/zapchasti_i_aksessuary/protivougonnye_ustroystva-ASgBAgICAUQKoE0
0,GPS-навигаторы,https://www.avito.ru/saratov/zapchasti_i_aksessuary/gps-navigatory-ASgBAgICAUQKKg
1,Все квартиры,https://www.avito.ru/saratov/kvartiry/prodam-ASgBAgICAUSSA8YQ
1,Вторичка,https://www.avito.ru/saratov/kvartiry/prodam/vtorichka-ASgBAgICAkSSA8YQ5geMUg
1,Новостройки,https://www.avito.ru/saratov/kvartiry/prodam/novostroyka-ASgBAgICAkSSA8YQ5geOUg
1,"Дома, дачи, коттеджи",https://www.avito.ru/saratov/doma_dachi_kottedzhi/prodam-ASgBAgICAUSUA9AQ
1,Комнаты,https://www.avito.ru/saratov/komnaty/prodam-ASgBAgICAUSQA7wQ
1,Квартиры,https://www.avito.ru/saratov/kvartiry/sdam/posutochno/-ASgBAgICAkSSA8gQ8AeSUg
1,"Дома, дачи и коттеджи",https://www.avito.ru/saratov/doma_dachi_kottedzhi/sdam/posutochno-ASgBAgICAkSUA9IQoAjKVQ
1,Комнаты и койко-места,https://www.avito.ru/saratov/komnaty/sdam/posutochno/-ASgBAgICAkSQA74QqAn4YA
1,Отели,https://www.avito.ru/saratov/realty_rent/hotels-ASgBAgICAUSksxTkoY8D?f=ASgBAgICAkSksxTkoY8DyP4UAg
1,Квартиры,https://www.avito.ru/saratov/kvartiry/sdam/na_dlitelnyy_srok-ASgBAgICAkSSA8gQ8AeQUg
1,"Дома, дачи и коттеджи",https://www.avito.ru/saratov/doma_dachi_kottedzhi/sdam/na_dlitelnyy_srok-ASgBAgICAkSUA9IQoAjIVQ
1,Комнаты и койко-места,https://www.avito.ru/saratov/komnaty/sdam/na_dlitelnyy_srok-ASgBAgICAkSQA74QqAn2YA
1,Купить,https://www.avito.ru/saratov/kommercheskaya_nedvizhimost/prodam-ASgBAgICAUSwCNJW
1,Снять,https://www.avito.ru/saratov/kommercheskaya_nedvizhimost/sdam-ASgBAgICAUSwCNRW
1,Земельные участки,https://www.avito.ru/saratov/zemelnye_uchastki
1,Гаражи и машиноместа,https://www.avito.ru/saratov/garazhi_i_mashinomesta
1,Зарубежная недвижимость,https://www.avito.ru/saratov/nedvizhimost_za_rubezhom
2,"IT, интернет, телеком",https://www.avito.ru/saratov/vakansii/it_internet_telekom-ASgBAgICAUSOC_SdAQ
2,Автомобильный бизнес,https://www.avito.ru/saratov/vakansii/avtomobilnyy_biznes-ASgBAgICAUSOC5CeAQ
2,Административная работа,https://www.avito.ru/saratov/vakansii/administrativnaya_rabota-ASgBAgICAUSOC6aeAQ
2,"Банки, инвестиции",https://www.avito.ru/saratov/vakansii/banki_investitsii-ASgBAgICAUSOC6ieAQ
2,"Без опыта, студенты",https://www.avito.ru/saratov/vakansii/bez_opyta_studenty-ASgBAgICAUSOC4aeAQ
2,"Бухгалтерия, финансы",https://www.avito.ru/saratov/vakansii/buhgalteriya_finansy-ASgBAgICAUSOC5KeAQ
2,Высший менеджмент,https://www.avito.ru/saratov/vakansii/vysshiy_menedzhment-ASgBAgICAUSOC5SeAQ
2,"Госслужба, НКО",https://www.avito.ru/saratov/vakansii/gossluzhba_nko-ASgBAgICAUSOC5aeAQ
2,Домашний персонал,https://www.avito.ru/saratov/vakansii/domashniy_personal-ASgBAgICAUSOC5qHAg
2,"ЖКХ, эксплуатация",https://www.avito.ru/saratov/vakansii/zhkh_ekspluatatsiya-ASgBAgICAUSOC5ieAQ
2,"Искусство, развлечения",https://www.avito.ru/saratov/vakansii/iskusstvo_razvlecheniya-ASgBAgICAUSOC5qeAQ
2,Консультирование,https://www.avito.ru/saratov/vakansii/konsultirovanie-ASgBAgICAUSOC5yeAQ
2,Курьерская доставка,https://www.avito.ru/saratov/vakansii/kurerkaya-dostavka-ASgBAgICAUSOC7Ko1gI
2,"Маркетинг, реклама, PR",https://www.avito.ru/saratov/vakansii/marketing_reklama_pr-ASgBAgICAUSOC56eAQ
2,"Медицина, фармацевтика",https://www.avito.ru/saratov/vakansii/meditsina_farmatsevtika-ASgBAgICAUSOC_adAQ
2,"Образование, наука",https://www.avito.ru/saratov/vakansii/obrazovanie_nauka-ASgBAgICAUSOC_6dAQ
2,"Охрана, безопасность",https://www.avito.ru/saratov/vakansii/ohrana_bezopasnost-ASgBAgICAUSOC6CeAQ
2,Продажи,https://www.avito.ru/saratov/vakansii/prodazhi-ASgBAgICAUSOC_idAQ
2,"Производство, сырьё, с/х",https://www.avito.ru/saratov/vakansii/proizvodstvo_syryo_sh-ASgBAgICAUSOC6qeAQ
2,Страхование,https://www.avito.ru/saratov/vakansii/strahovanie-ASgBAgICAUSOC_qdAQ
2,Строительство,https://www.avito.ru/saratov/vakansii/stroitelstvo-ASgBAgICAUSOC4CeAQ
