Id,PropertyId,SubCategoryName,Value
162,2,Мобильные телефоны,Note 30
163,10,Мобильные телефоны,MEI**********00568
164,11,Мобильные телефоны,80 %
165,10,Мобильные телефоны,MEI**********29921
166,2,Мобильные телефоны,Spark 10 Pro
167,10,Мобильные телефоны,MEI**********64409
168,11,Мобильные телефоны,88 %
169,2,Мобильные телефоны,Poco C65
170,1,Мобильные телефоны,Skylink
171,2,Мобильные телефоны,Hit
172,3,Мобильные телефоны,Другое
173,4,Мобильные телефоны,Другое
174,9,Мобильные телефоны,Другое
175,10,Мобильные телефоны,MEI**********39999
176,1,Мобильные телефоны,Nokia
177,2,Мобильные телефоны,8800 Arte
178,3,Мобильные телефоны,1 ГБ
179,9,Мобильные телефоны,64 МБ
180,2,Мобильные телефоны,Redmi 12C
181,10,Мобильные телефоны,MEI**********49107
182,11,Мобильные телефоны,83 %
183,11,Мобильные телефоны,76 %
184,10,Мобильные телефоны,MEI**********65426
185,2,Мобильные телефоны,Pura 70
186,10,Мобильные телефоны,MEI**********77453
187,2,Мобильные телефоны,iPhone 16
188,2,Мобильные телефоны,Galaxy A50
