Link,SubCategoryName
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/shuba_norkovaya_46_48_50_4378565696?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/palto_4359064556?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/kurtka_zimnyaya_ekokozha_zhenskaya_4268772518?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/prodam_norkovuyu_shubu_3203891421?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/palto_zimnee_s_mehovym_kapyushonom_1560225190?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/plate_zhenskoe_2939869719?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/kostyum_miu_miu_4168239050?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/kostyum_miu_miu_4200328823?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/dublenka_naturalnaya_zhenskaya_42_44_4358905843?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
https://www.avito.ru/saratov/odezhda_obuv_aksessuary/dzhinsovaya_kurtka_zhenskaya_3439233517?context=H4sIAAAAAAAA_0q0MrSqLrYyNLZSyslPTswJKMrML8osqVSyTrIysK4FBAAA__8LHhdkHwAAAA,Женская одежда
