Id,PropertyId,SubCategoryName,Value
190,19,Все квартиры," посудомоечная машина"
191,1,Все квартиры,68 м²
192,2,Все квартиры,12.6 м²
193,3,Все квартиры,42.3 м²
194,4,Все квартиры,8 из 14
195,13,Все квартиры,14
196,1,Все квартиры,56 м²
197,2,Все квартиры,11.4 м²
198,3,Все квартиры,39 м²
199,4,Все квартиры,10 из 10
200,1,Все квартиры,40.2 м²
201,2,Все квартиры,9.7 м²
202,12,Все квартиры,2016
203,1,Все квартиры,42.5 м²
204,3,Все квартиры,25.9 м²
205,4,Все квартиры,4 из 5
206,6,Все квартиры,2.2 м
207,12,Все квартиры,1967
208,1,Все квартиры,80 м²
209,2,Все квартиры,15.4 м²
210,4,Все квартиры,2 из 9
211,1,Все квартиры,72.9 м²
212,4,Все квартиры,10 из 14
213,25,Все квартиры,ЖК в мкр. Новосоколовогорский
214,27,Все квартиры,Сдан 2 кв. 2024
215,1,Все квартиры,60.9 м²
216,6,Все квартиры,3 м
217,12,Все квартиры,1929
218,1,Все квартиры,71.4 м²
219,4,Все квартиры,14 из 14
220,1,Все квартиры,86 м²
221,2,Все квартиры,10.2 м²
222,4,Все квартиры,6 из 9
223,12,Все квартиры,1992
224,2,Все квартиры,19.3 м²
225,3,Все квартиры,10.8 м²
226,25,Все квартиры,Мкр. «САЗ 3»
227,28,Все квартиры,Дом 7
228,1,Все квартиры,37 м²
229,4,Все квартиры,8 из 19
230,13,Все квартиры,19
231,0,Все квартиры,4
232,1,Все квартиры,78.3 м²
233,2,Все квартиры,6.6 м²
234,3,Все квартиры,56 м²
235,4,Все квартиры,15 из 22
236,25,Все квартиры,ЖК «Мята»
237,28,Все квартиры,Дом 8
238,1,Все квартиры,31 м²
239,3,Все квартиры,16 м²
240,12,Все квартиры,1989
241,1,Все квартиры,61.1 м²
242,2,Все квартиры,5.8 м²
243,1,Все квартиры,30.7 м²
244,1,Все квартиры,42.3 м²
245,25,Все квартиры,Эко-квартал «Булгаковский парк»
246,1,Все квартиры,62 м²
247,3,Все квартиры,36 м²
